"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"https://github.com/facebook/react/commit/08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactContextValidator-test.js at packages/react/src/classic/__tests__/ReactContextValidator-test.js}","{File ReactContextValidator-test.js at packages/react/src/__tests__/ReactContextValidator-test.js})","","TP",False,54,76,""
"","MOVE","{File createReactClassIntegration-test.js at packages/react/src/classic/__tests__/createReactClassIntegration-test.js}","{File createReactClassIntegration-test.js at packages/react/src/__tests__/createReactClassIntegration-test.js})","","FP",False,"",84,""
"","MOVE","{File ReactCurrentOwner.js at packages/react/src/classic/element/ReactCurrentOwner.js}","{File ReactCurrentOwner.js at packages/react/src/element/ReactCurrentOwner.js})","","FP",False,"",82,""
"","MOVE","{File ReactDebugCurrentFrame.js at packages/react/src/classic/element/ReactDebugCurrentFrame.js}","{File ReactDebugCurrentFrame.js at packages/react/src/element/ReactDebugCurrentFrame.js})","","FP",False,"",88,""
"","MOVE","{File ReactElement.js at packages/react/src/classic/element/ReactElement.js}","{File ReactElement.js at packages/react/src/element/ReactElement.js})","","FP",False,"",77,""
"","MOVE","{File ReactElementValidator.js at packages/react/src/classic/element/ReactElementValidator.js}","{File ReactElementValidator.js at packages/react/src/element/ReactElementValidator.js})","","FP",False,"",80,""
"","MOVE","{File ReactElement-test.js at packages/react/src/classic/element/__tests__/ReactElement-test.js}","{File ReactElement-test.js at packages/react/src/element/__tests__/ReactElement-test.js})","","FP",False,"",90,""
"","MOVE","{File ReactElementClone-test.js at packages/react/src/classic/element/__tests__/ReactElementClone-test.js}","{File ReactElementClone-test.js at packages/react/src/element/__tests__/ReactElementClone-test.js})","","FP",False,"",86,""
"","MOVE","{File ReactElementValidator-test.js at packages/react/src/classic/element/__tests__/ReactElementValidator-test.js}","{File ReactElementValidator-test.js at packages/react/src/element/__tests__/ReactElementValidator-test.js})","","FP",False,"",78,""
"","MOVE","{File ReactBaseClasses.js at packages/react/src/modern/class/ReactBaseClasses.js}","{File ReactBaseClasses.js at packages/react/src/class/ReactBaseClasses.js})","","FP",False,"",89,""
"","MOVE","{File ReactNoopUpdateQueue.js at packages/react/src/modern/class/ReactNoopUpdateQueue.js}","{File ReactNoopUpdateQueue.js at packages/react/src/class/ReactNoopUpdateQueue.js})","","FP",False,"",75,""
"","MOVE","{File ReactClassEquivalence-test.js at packages/react/src/modern/class/__tests__/ReactClassEquivalence-test.js}","{File ReactClassEquivalence-test.js at packages/react/src/class/__tests__/ReactClassEquivalence-test.js})","","FP",False,"",85,""
"","MOVE","{File ReactES6Class-test.js at packages/react/src/modern/class/__tests__/ReactES6Class-test.js}","{File ReactES6Class-test.js at packages/react/src/class/__tests__/ReactES6Class-test.js})","","FP",False,"",87,""
"","MOVE","{File ReactPureComponent-test.js at packages/react/src/modern/class/__tests__/ReactPureComponent-test.js}","{File ReactPureComponent-test.js at packages/react/src/class/__tests__/ReactPureComponent-test.js})","","FP",False,"",79,""
"","MOVE","{File ReactJSXElement-test.js at packages/react/src/modern/element/__tests__/ReactJSXElement-test.js}","{File ReactJSXElement-test.js at packages/react/src/element/__tests__/ReactJSXElement-test.js})","","FP",False,"",81,""
"","MOVE","{File ReactJSXElementValidator-test.js at packages/react/src/modern/element/__tests__/ReactJSXElementValidator-test.js}","{File ReactJSXElementValidator-test.js at packages/react/src/element/__tests__/ReactJSXElementValidator-test.js})","","FP",False,"",83,""
