"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"https://github.com/refdiff-study/darknet/commit/8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","src/cost_layer.h:backward_cost_layer(cost_layer, network_state)","src/cost_layer.h:backward_cost_layer(cost_layer, network)","TP","TP",True,0,118,""
"https://github.com/refdiff-study/tmux/commit/c48d09ec8870ac218d6cc2bbec638d59839eda27","CHANGE_SIGNATURE","environ.c:environ_for_session(session)","environ.c:environ_for_session(session, int)","TP","TP",True,1,173,""
"https://github.com/refdiff-study/php-src/commit/2e5ac355b9b578e5d1e460f2b2f4205f8a7c87b3","CHANGE_SIGNATURE","ext/phar/phar_object.c:phar_postprocess_ru_web(char, int, char, int, char, int)","ext/phar/phar_object.c:phar_postprocess_ru_web(char, size_t, char, size_t, char, size_t)","TP","TP",True,2,223,""
"https://github.com/refdiff-study/nuklear/commit/bd30c124a655400f0f7da127be939919e8b46c58","CHANGE_SIGNATURE","nuklear.h:nk_color_picker(nk_context, nk_color, nk_color_format)","nuklear.h:nk_color_picker(nk_context, nk_colorf, nk_color_format)","TP","FN",False,3,"",""
"https://github.com/refdiff-study/toxcore/commit/d83efd35dd342da7f5b0f4b6e11ffd943d7f3c63","CHANGE_SIGNATURE","testing/irc_syncbot.c:callback_friend_message(Tox, int, uint8_t, uint16_t, void)","testing/irc_syncbot.c:callback_friend_message(Tox, uint32_t, uint8_t, size_t, void)","TP","TP",True,4,260,""
"https://github.com/refdiff-study/redis/commit/60a4f12f8b998c44dfff0e88202b01598287390d","CHANGE_SIGNATURE","src/networking.c:setProtocolError(char, client, int)","src/networking.c:setProtocolError(char, client, null)","TP","FN",False,5,"",""
"https://github.com/refdiff-study/redis/commit/09e3b3b97588e9847fc016dbad489bbe8b46aa39","CHANGE_SIGNATURE","src/t_stream.c:streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamCG, streamConsumer)","src/t_stream.c:streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamConsumer)","TP","TP",True,6,273,""
"https://github.com/refdiff-study/redis/commit/09e3b3b97588e9847fc016dbad489bbe8b46aa39","CHANGE_SIGNATURE","src/t_stream.c:streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamCG, streamConsumer)","src/t_stream.c:streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamConsumer)","TP","TP",True,6,274,""
"https://github.com/refdiff-study/toxcore/commit/d71136262227d68b649ce9fd8e020597c69cce07","CHANGE_SIGNATURE","auto_tests/tox_test.c:print_message(Tox, uint32_t, uint8_t, size_t, void)","auto_tests/tox_test.c:print_message(Tox, uint32_t, TOX_MESSAGE_TYPE, uint8_t, size_t, void)","TP","TP",True,7,275,""
"https://github.com/refdiff-study/vim/commit/1dd45fb4f3371f0256653b2186c8b4b3d26b3f41","CHANGE_SIGNATURE","src/gui_w32.c:gui_mch_stop_blink(void)","src/gui_w32.c:gui_mch_stop_blink(int)","TP","FN",False,8,"",""
"https://github.com/refdiff-study/git/commit/6862ebbfcbdd44b68dbdcfecd432432bdf22b2e5","CHANGE_SIGNATURE","sha1_file.c:check_and_freshen_nonlocal(char, int)","sha1_file.c:check_and_freshen_nonlocal(object_id, int)","TP","FN",False,9,"",""
"https://github.com/refdiff-study/linux/commit/6e04b103568983bd699fac96b80a9b96ede68118","EXTRACT","drivers/infiniband/hw/bnxt_re/qplib_rcfw.c:bnxt_qplib_enable_rcfw_channel(pci_dev, bnxt_qplib_rcfw, int, int, int, int)","drivers/infiniband/hw/bnxt_re/qplib_rcfw.c:bnxt_qplib_rcfw_start_irq(bnxt_qplib_rcfw, int, bool)","TP","FN",False,10,"",""
"https://github.com/refdiff-study/php-src/commit/6c035f53f143c065aa3befbdbacd30ce691cff2a","EXTRACT","Zend/zend_ini.c:ZEND_INI_DISP(null)","Zend/zend_ini.c:zend_ini_parse_bool(zend_string)","TP","FN",False,11,"",""
"https://github.com/refdiff-study/jq/commit/3a8c8f4747313d324f4309af66e2211319eccffd","EXTRACT","src/compile.c:gen_foreach(block, block, block, block, block)","src/compile.c:bind_alternation_matchers(block, block)","TP","FN",False,12,"",""
"https://github.com/refdiff-study/redis/commit/08e1c8e820031751bd58736cc334dda1bc55cb5c","EXTRACT","deps/jemalloc/src/ctl.c:arena_i_purge_ctl(size_t, size_t, void, size_t, void, size_t)","deps/jemalloc/src/ctl.c:arena_i_decay(tsdn_t, null, bool)","TP","FN",False,13,"",""
"https://github.com/refdiff-study/redis/commit/cb9dde3280244ec3b449f081639c37dd5a1916ab","EXTRACT","src/module.c:moduleUnload(sds)","src/module.c:moduleUnregisterCommands(RedisModule)","TP","TP",True,14,536,""
"https://github.com/refdiff-study/obs-studio/commit/8a59d68e477233d324995342814a3a18162197b9","EXTRACT","libobs/obs-properties.c:obs_proprety_text_type(obs_property_t)","libobs/obs-properties.c:obs_property_text_type(obs_property_t)","TP","TP",True,15,537,""
"https://github.com/refdiff-study/tmux/commit/f56f09ea3871d3099dd31030501b982a4243a372","EXTRACT","mode-tree.c:mode_tree_key(mode_tree_data, client, key_code, mouse_event)","mode-tree.c:mode_tree_check_selected(mode_tree_data)","TP","TP",True,16,538,""
"https://github.com/refdiff-study/darknet/commit/00d483697a6e395ef6776320cd1e52a04f4367be","EXTRACT","src/activations.c:activate(float, ACTIVATION)","src/activations.c:relu_activate(float)","TP","TP",True,17,540,""
"https://github.com/refdiff-study/toxcore/commit/22b1ebb46e5470d919e1f6896c99a82c29b443d3","EXTRACT","toxcore/DHT.c:closelist_nodes(DHT, Node_format, uint16_t)","toxcore/DHT.c:list_nodes(Client_data, int, Node_format, uint16_t)","TP","FN",False,18,"",""
"https://github.com/refdiff-study/toxcore/commit/0207fcdfb0e43d425abb026b08c074a6822e0349","EXTRACT","toxcore/Messenger.c:do_receipts(Messenger, int32_t)","toxcore/Messenger.c:friend_received_packet(Messenger, int32_t, uint32_t)","TP","TP",True,19,545,""
"https://github.com/refdiff-study/darknet/commit/8c5364f58569eaeb5582a4915b36b24fc5570c76","INLINE","src/detection_layer.c:get_detection_layer_locations(detection_layer)","src/detection_layer.c:forward_detection_layer(detection_layer, network_state)","TP","TP",True,20,560,""
"https://github.com/refdiff-study/netdata/commit/c3636a18fd3582e135ad110888fed2d685c5ca59","INLINE","src/procfile.c:_procfile_parser_skip_word(char, char, PF_CHAR_TYPE, PF_CHAR_TYPE)","src/procfile.c:procfile_parser(procfile)","TP","FN",False,21,"",""
"https://github.com/refdiff-study/git/commit/8b026edac3104ecc40a68fd58b764fb3c717babb","INLINE","merge-recursive.c:was_dirty(merge_options, char)","merge-recursive.c:handle_file(merge_options, diff_filespec, int, rename_conflict_info)","FP","TN",False,22,"",""
"https://github.com/refdiff-study/darknet/commit/60e952ba694e3e0811db5868d70ad7ebfe676836","INLINE","src/softmax_layer.c:softmax_tree(float, int, int, float, tree, float)","src/softmax_layer.c:forward_softmax_layer(softmax_layer, network_state)","TP","TP",True,23,574,""
"https://github.com/refdiff-study/linux/commit/ce4c3e19e5201424357a0c82176633b32a98d2ec","INLINE","drivers/md/bcache/sysfs.c:bch_read_string_list(char, char)","drivers/md/bcache/sysfs.c:STORE(null)","FP","TN",False,24,"",""
"https://github.com/refdiff-study/FFmpeg/commit/f7221d8e670ec05471a16cc4cc1cc8e0040b5b5f","INLINE","libavformat/mov.c:cenc_filter(MOVContext, MOVStreamContext, int64_t, uint8_t, int)","libavformat/mov.c:mov_read_packet(AVFormatContext, AVPacket)","FP","TN",False,25,"",""
"https://github.com/refdiff-study/darknet/commit/fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a","INLINE","src/data.c:fill_bg_mask(image)","src/data.c:get_segmentation_image(char, int, int, int)","TP","FN",False,26,"",""
