"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"https://github.com/refdiff-study/darknet/commit/8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","src/cost_layer.h:backward_cost_layer","src/cost_layer.h:backward_cost_layer","TP","TP",True,0,118,""
"https://github.com/refdiff-study/tmux/commit/c48d09ec8870ac218d6cc2bbec638d59839eda27","CHANGE_SIGNATURE","environ.c:environ_for_session","environ.c:environ_for_session","TP","TP",True,1,173,""
"https://github.com/refdiff-study/php-src/commit/2e5ac355b9b578e5d1e460f2b2f4205f8a7c87b3","CHANGE_SIGNATURE","ext/phar/phar_object.c:phar_postprocess_ru_web","ext/phar/phar_object.c:phar_postprocess_ru_web","TP","TP",True,2,223,""
"https://github.com/refdiff-study/nuklear/commit/bd30c124a655400f0f7da127be939919e8b46c58","CHANGE_SIGNATURE","nuklear.h:nk_color_picker","nuklear.h:nk_color_picker","TP","TP",True,3,245,""
"https://github.com/refdiff-study/toxcore/commit/d83efd35dd342da7f5b0f4b6e11ffd943d7f3c63","CHANGE_SIGNATURE","testing/irc_syncbot.c:callback_friend_message","testing/irc_syncbot.c:callback_friend_message","TP","TP",True,4,260,""
"https://github.com/refdiff-study/redis/commit/60a4f12f8b998c44dfff0e88202b01598287390d","CHANGE_SIGNATURE","src/networking.c:setProtocolError","src/networking.c:setProtocolError","TP","TP",True,5,263,""
"https://github.com/refdiff-study/redis/commit/60a4f12f8b998c44dfff0e88202b01598287390d","CHANGE_SIGNATURE","src/networking.c:setProtocolError","src/networking.c:setProtocolError","TP","TP",True,5,272,""
"https://github.com/refdiff-study/redis/commit/09e3b3b97588e9847fc016dbad489bbe8b46aa39","CHANGE_SIGNATURE","src/t_stream.c:streamReplyWithRangeFromConsumerPEL","src/t_stream.c:streamReplyWithRangeFromConsumerPEL","TP","TP",True,6,273,""
"https://github.com/refdiff-study/redis/commit/09e3b3b97588e9847fc016dbad489bbe8b46aa39","CHANGE_SIGNATURE","src/t_stream.c:streamReplyWithRangeFromConsumerPEL","src/t_stream.c:streamReplyWithRangeFromConsumerPEL","TP","TP",True,6,274,""
"https://github.com/refdiff-study/toxcore/commit/d71136262227d68b649ce9fd8e020597c69cce07","CHANGE_SIGNATURE","auto_tests/tox_test.c:print_message","auto_tests/tox_test.c:print_message","TP","TP",True,7,275,""
