"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","","","Yes","FN",False,0,"",""
"c3fbf81a8534cf88ff948d12004eb94929ec1174","CHANGE_SIGNATURE","","","Yes","FN",False,1,"",""
"b78944146a0670b74be00e189f468adfc5fca5b7","CHANGE_SIGNATURE","","","Yes","FN",False,2,"",""
"9a5d2816b8560320ac625e8ae6cfc0d36ea0f52b","CHANGE_SIGNATURE","","","Yes","FN",False,3,"",""
"6c553435870bf351c594437b4ba8babbdb0bb37e","CHANGE_SIGNATURE","","","Yes","FN",False,4,"",""
"0217569bb2db23b8686f67b0f4dda7e517dec6fd","CHANGE_SIGNATURE","","","Yes","FN",False,5,"",""
"905dfb9179a570b51469febda825a52a529d6793","CHANGE_SIGNATURE","","","No","FN",False,6,"",""
"eeb03b05ad132857a14e081ab6dab4610c8e8f51","CHANGE_SIGNATURE","","","Yes","FN",False,7,"",""
"6921d2fc075df8933748e7543402b0ae6d686fa3","CHANGE_SIGNATURE","","","Yes","FN",False,8,"",""
"abe60ba45c145db2d90609138755fbb3dbc47d00","CHANGE_SIGNATURE","","","Yes","FN",False,9,"",""
"dbd6dc752c8a6de428eacad47d4fd37e52f98183","EXTRACT_FUNCTION","net/bridge/br_vlan.c:br_vlan_add","net/bridge/br_vlan.c:br_vlan_add_existing","Yes","FN",False,10,"",""
"ba97aea1659e249a3a58ecc5f583ee2056a90ad8","EXTRACT_FUNCTION","sequencer.c:is_index_unchanged","sequencer.c:get_cache_tree_oid","Yes","FN",False,11,"",""
"f348ac923c9f834c3cdc434e6266872cf5710b71","EXTRACT_FUNCTION","refs.c:find_containing_dir","refs.c:search_for_subdir","Yes","FN",False,12,"",""
"2685218b3f3dd2af1c9ac09d7b3800725bb34d9c","EXTRACT_FUNCTION","drivers/net/wireless/ath/ath10k/pci.c:ath10k_pci_interrupt_handler","drivers/net/wireless/ath/ath10k/pci.c:ath10k_pci_disable_and_clear_legacy_irq","Yes","FN",False,13,"",""
"df32479b2eca9861125631261010d63778902feb","EXTRACT_FUNCTION","swoole_mysql.c:mysql_handshake","swoole_mysql.c:mysql_auth_encrypt_dispatch","No","FN",False,14,"",""
"c8c310c99e2d79e3381b33ac4300d6777ddaaa7e","EXTRACT_FUNCTION","drivers/media/platform/vsp1/vsp1_drm.c:vsp1_du_atomic_flush","drivers/media/platform/vsp1/vsp1_drm.c:vsp1_du_pipeline_configure","Yes","FN",False,15,"",""
"ae2948f30c7de56e2805d26f78ea8205f6c98682","EXTRACT_FUNCTION","upload-pack.c:receive_needs","upload-pack.c:process_shallow","Yes","FN",False,16,"",""
"0a243bedec0ad51d0abf9585c5166a12d94d35d6","EXTRACT_FUNCTION","libavfilter/vf_zscale.c:filter_frame","libavfilter/vf_zscale.c:format_init","Yes","FN",False,17,"",""
"6ed0f70f97c882813199b3bafd724ceeb43659de","EXTRACT_FUNCTION","avconv.c:init_output_stream","avconv.c:init_output_stream_streamcopy","No","FN",False,18,"",""
"634d05f73b42e15733d999b8b696a928967619df","EXTRACT_FUNCTION","src/main.c:main","src/util.c:check_err","No","FN",False,19,"",""
"e283de3a4fa885aed11525129fd4570f92c1d1a9","INLINE","","","No","FN",False,20,"",""
"e6114d21ac00f78f164c6755d51cc811d7286a26","INLINE","","","Yes","FN",False,21,"",""
"d19174c673b8788de825a936d8d7c9340aefcd56","INLINE","","","Yes","FN",False,22,"",""
"779e1aabb49e4f3749be659eb4edfe23db09a800","INLINE","","","Yes","FN",False,23,"",""
"2d2b300b3875cb76b67e5aa6ba39b58519942411","INLINE","","","Yes","FN",False,24,"",""
"e13f421ba81b970f0952b2911bfc34aa9db5197f","INLINE","","","Yes","FN",False,25,"",""
"e2c8e1a9f7e52203c9a2712a2e35326d212ad5d7","INLINE","","","Yes","FN",False,26,"",""
"859a6ddbe5d95fa95a66247c290c2c266fe67bf8","INLINE","","","Yes","FN",False,27,"",""
"753935749f21b10b306bc81559bba2912a7128a6","INLINE","","","Yes","FN",False,28,"",""
"43b3273e5b2ab022f068d758fdaba90aee790fbf","INLINE","","","Yes","FN",False,29,"",""
"69d83f171bab980c648b6b0b6b752effea1d1e5c","MOVE_FILE","ios/IJKMediaPlayer/IJKMediaPlayer/h264_sps_parser.h","ios/IJKMediaPalyer/IJKMediaPlayer/ijkmedia/ijkplayer/ios/pipeline/h264_sps_parser.h","Yes","FN",False,30,"",""
"c95169f0ec68bdeeabc5fde8aa4076f406242524","MOVE_FILE","avconv.c","avtools/avconv.c","Yes","TP",False,31,45,""
"f397c8d80a5e413984bd9ccdf4161c7156b365ce","MOVE_FILE","drivers/mmc/card/block.c","drivers/mmc/core/block.c","Yes","TP",False,32,55,""
"eaa713e93b6aadf08fda33238670cd3577a7db52","MOVE_FILE","deps/geohash-int/geohash.h","src/geohash.h","Yes","TP",False,33,63,""
"0c93eb3379241dc4775718a9d39f54a6c4de20d6","MOVE_FILE","builtin.c","src/builtin.c","Yes","TP",False,34,92,""
"987d0010a9dec5772a3217a1013b7e13940fee8b","MOVE_FILE","system/lib/compiler-rt/muldi3.c","system/lib/compiler-rt/lib/builtins/muldi3.c","Yes","TP",False,35,105,""
"8c7ba1800a898ad780135f1ebd21fb62ddf8a56f","MOVE_FILE","ijkmedia/ijkutil/loghelp.c","ijkmedia/ijkutil/android/loghelp.c","Yes","TP",False,36,115,""
"a47c142a88c01f69ba0d0c73297f0404508c3493","MOVE_FILE","lib/axtls.c","lib/vtls/axtls.c","Yes","TP",False,37,130,""
"a12ab9e125f184454fc484483fe2029962fe6a34","MOVE_FILE","tools/testing/selftests/timers/rtctest.c","tools/testing/selftests/rtc/rtctest.c","Yes","FN",False,38,"",""
"51c1e9b554c996284d5d3bd44da829f41a49a21b","MOVE_FILE","drivers/misc/panel.c","drivers/auxdisplay/panel.c","Yes","TP",False,39,140,""
