repository,commit,type,before,after
"webpack","b50d4cf7c370dc0f9fa2c39ea0e73e28ca8918ac","MOVE","{Function formatInnerSchema at lib/WebpackOptionsValidationError.js:66}","{Function formatInnerSchema at lib/util/formatSchema.js:8})"
"webpack","b50d4cf7c370dc0f9fa2c39ea0e73e28ca8918ac","MOVE","{Function indent at lib/WebpackOptionsValidationError.js:42}","{Function indent at lib/util/indent.js:3})"
"webpack","b50d4cf7c370dc0f9fa2c39ea0e73e28ca8918ac","MOVE","{Function getSchemaPart at lib/WebpackOptionsValidationError.js:10}","{Function getSchemaPart at lib/util/getSchemaPart.js:3})"
"webpack","b50d4cf7c370dc0f9fa2c39ea0e73e28ca8918ac","MOVE","{Function getSchemaPartText at lib/WebpackOptionsValidationError.js:27}","{Function getSchemaPartText at lib/util/getSchemaPartText.js:6})"
"create-react-app","fbdff9d722d6ce669a090138022c4d3536ae95bb","MOVE","{Function removeFileNameHash at packages/react-scripts/scripts/build.js:43}","{Function removeFileNameHash at packages/react-dev-utils/FileSizeReporter.js:61})"
"create-react-app","fbdff9d722d6ce669a090138022c4d3536ae95bb","MOVE","{Function getDifferenceLabel at packages/react-scripts/scripts/build.js:51}","{Function getDifferenceLabel at packages/react-dev-utils/FileSizeReporter.js:69})"
"create-react-app","fbdff9d722d6ce669a090138022c4d3536ae95bb","MOVE_RENAME","{Function printFileSizes at packages/react-scripts/scripts/build.js:90}","{Function printFileSizesAfterBuild at packages/react-dev-utils/FileSizeReporter.js:21})"
"react","8fbcd499bd07c8a8206f23fe0b2a1cbbc1ffaf0a","MOVE","{Function validateCallback at src/renderers/shared/fiber/ReactFiberClassComponent.js:49}","{Function validateCallback at src/renderers/shared/utils/validateCallback.js:30})"
"react","8fbcd499bd07c8a8206f23fe0b2a1cbbc1ffaf0a","MOVE","{Function formatUnexpectedArgument at src/renderers/shared/stack/reconciler/ReactUpdateQueue.js:26}","{Function formatUnexpectedArgument at src/renderers/shared/utils/validateCallback.js:17})"
"d3","959da21882ad7ea5f35f851adb629ae7a29d5a38","INLINE","{Function i at d3.min.js:5}","{Function i at d3.min.js:5})"
"d3","959da21882ad7ea5f35f851adb629ae7a29d5a38","EXTRACT","{Function i at d3.min.js:4}","{Function o at d3.min.js:4})"
"react","63aa7259b9f48886af545afcc06c29acf225b05f","MOVE","{Function getReactRootElementInContainer at src/browser/ui/getReactRootElementInContainer.js:21}","{Function getReactRootElementInContainer at src/browser/ui/ReactMount.js:80})"
"angular.js","560951e9881b5f772262804384b4da9f673b925e","EXTRACT","{Function $interpolate at src/ng/interpolate.js:185}","{Function stringify at src/ng/interpolate.js:96})"
"angular.js","2636105c5e363f14cda890f19ac9c3bc57556dd2","MOVE","{Function cssMatcher at test/testabilityPatch.js:67}","{Function cssMatcher at test/matchers.js:3})"
"meteor","643a9f12da263044829f90ea06cbb1d6c1afe91e","MOVE_RENAME","{Function installDefaultNpmDeps at tools/cli/commands.js:1720}","{Function install at tools/cli/default-npm-deps.js:10})"
"meteor","b5286b941a77a1bdd57abb1ea01385eeaa62f7ea","MOVE_RENAME","{File browser-policy.js at packages/browser-policy/browser-policy.js:1}","{File browser-policy-content.js at packages/browser-policy-content/browser-policy-content.js:1})"
"angular.js","af0ad6561c0d75c4f155b07e9cfc36a983af55bd","MOVE","{Function toJson at src/JSON.js:30}","{Function toJson at src/Angular.js:760})"
"angular.js","af0ad6561c0d75c4f155b07e9cfc36a983af55bd","MOVE","{Function fromJson at src/JSON.js:45}","{Function fromJson at src/Angular.js:776})"
"react","24a83a5eeb1ccf4da1bdd97166d6c7c94d821bd8","EXTRACT","{Function commitAllWork at src/renderers/shared/fiber/ReactFiberScheduler.js:176}","{Function commitAllHostEffects at src/renderers/shared/fiber/ReactFiberScheduler.js:178})"
"react","24a83a5eeb1ccf4da1bdd97166d6c7c94d821bd8","EXTRACT","{Function commitAllWork at src/renderers/shared/fiber/ReactFiberScheduler.js:176}","{Function commitAllLifeCycles at src/renderers/shared/fiber/ReactFiberScheduler.js:235})"
"react","b4b21486aa043b3c6260665930e7e638c908a5ec","EXTRACT","{Function beginWork at src/renderers/shared/fiber/ReactFiberBeginWork.js:474}","{Function updateHostRoot at src/renderers/shared/fiber/ReactFiberBeginWork.js:246})"
"angular.js","c39936ee26f00d8256c79df07096f03196811df5","EXTRACT","{Function commitRoute at src/ngRoute/route.js:578}","{Function resolveLocalsFor at src/ngRoute/route.js:629})"
"angular.js","4adc9a9117e7f7501d94c22c8cbbfeb77ad5d596","EXTRACT","{Function commitRoute at src/ngRoute/route.js:578}","{Function getTemplateFor at src/ngRoute/route.js:637})"
"d3","0a39765f3cbcb940e6fb354cec010a7ffeba9289","EXTRACT","{Function d3_geo_circleClipPolygon at d3.js:5606}","{Function d3_geo_circleLinkCircular at d3.js:5707})"
"d3","0a39765f3cbcb940e6fb354cec010a7ffeba9289","EXTRACT_MOVE","{Function d3_geo_circleClipPolygon at d3.js:5606}","{Function d3_geo_circleLinkCircular at src/geo/circle.js:266})"
"d3","0a39765f3cbcb940e6fb354cec010a7ffeba9289","EXTRACT_MOVE","{Function d3_geo_circleClipPolygon at d3.js:5606}","{Function d3_geo_circleClipSort at src/geo/circle.js:274})"
"d3","0a39765f3cbcb940e6fb354cec010a7ffeba9289","EXTRACT_MOVE","{Function d3_geo_circleClipPolygon at src/geo/circle.js:174}","{Function d3_geo_circleLinkCircular at d3.js:5707})"
"d3","0a39765f3cbcb940e6fb354cec010a7ffeba9289","EXTRACT_MOVE","{Function d3_geo_circleClipPolygon at src/geo/circle.js:174}","{Function d3_geo_circleClipSort at d3.js:5714})"
"d3","0a39765f3cbcb940e6fb354cec010a7ffeba9289","EXTRACT","{Function d3_geo_circleClipPolygon at d3.js:5606}","{Function d3_geo_circleClipSort at d3.js:5714})"
"d3","0a39765f3cbcb940e6fb354cec010a7ffeba9289","EXTRACT","{Function d3_geo_circleClipPolygon at src/geo/circle.js:174}","{Function d3_geo_circleClipSort at src/geo/circle.js:274})"
"d3","0a39765f3cbcb940e6fb354cec010a7ffeba9289","EXTRACT","{Function d3_geo_circleClipPolygon at src/geo/circle.js:174}","{Function d3_geo_circleLinkCircular at src/geo/circle.js:266})"
"d3","2eba0320407442e85be97b2cd84398fb6c626fe3","EXTRACT","{Function bO at d3.min.js:1}","{Function bS at d3.min.js:1})"
"d3","2eba0320407442e85be97b2cd84398fb6c626fe3","RENAME","{Function tickRange at d3.js:2223}","{Function d3_scale_linearTickRange at d3.js:2260})"
"d3","2eba0320407442e85be97b2cd84398fb6c626fe3","EXTRACT","{Function tickRange at d3.js:2223}","{Function d3_scaleExtent at d3.js:2149})"
"d3","2eba0320407442e85be97b2cd84398fb6c626fe3","RENAME","{Function tickRange at src/scale/linear.js:55}","{Function d3_scale_linearTickRange at src/scale/linear.js:87})"
"d3","2eba0320407442e85be97b2cd84398fb6c626fe3","EXTRACT_MOVE","{Function tickRange at src/scale/linear.js:55}","{Function d3_scaleExtent at src/scale/scale.js:3})"
"d3","2eba0320407442e85be97b2cd84398fb6c626fe3","EXTRACT_MOVE","{Function tickRange at src/scale/linear.js:55}","{Function d3_scaleExtent at d3.js:2149})"
"d3","2eba0320407442e85be97b2cd84398fb6c626fe3","EXTRACT_MOVE","{Function tickRange at d3.js:2223}","{Function d3_scaleExtent at src/scale/scale.js:3})"
"d3","2eba0320407442e85be97b2cd84398fb6c626fe3","EXTRACT","{Function bP at d3.min.js:1}","{Function bS at d3.min.js:1})"
"angular.js","d9ca2459172a3ad62f0a19b8b1306d739c4b75b7","EXTRACT","{Function anonFn at src/auto/injector.js:71}","{Function extractArgs at src/auto/injector.js:71})"
"angular.js","d9ca2459172a3ad62f0a19b8b1306d739c4b75b7","EXTRACT","{Function annotate at src/auto/injector.js:82}","{Function extractArgs at src/auto/injector.js:71})"
"vue","ae07fedf8ab00a000db56a155f2e2fdaa6daeff2","INLINE","{Function isFunction at src/shared/util.js:17}","{Function resolveAsyncComponent at src/core/vdom/helpers/resolve-async-component.js:18})"
"meteor","ec3341e7adb89889deadc1d3ecd8d8a181b958f1","INLINE","{Function put at packages/dynamic-import/cache.js:152}","{Function flushSetMany at packages/dynamic-import/cache.js:121})"
"react","47783e878d62ed96ea27290d1cdbb90b83c417c4","RENAME","{Function shouldSetAttribute at packages/react-dom/src/shared/DOMProperty.js:170}","{Function shouldSkipAttribute at packages/react-dom/src/shared/DOMProperty.js:180})"
"react","47783e878d62ed96ea27290d1cdbb90b83c417c4","INLINE","{Function setValueForAttribute at packages/react-dom/src/client/DOMPropertyOperations.js:165}","{Function setValueForProperty at packages/react-dom/src/client/DOMPropertyOperations.js:114})"
"react","5c6a496d98b80d19d851c2ec3a56d760b7118a50","MOVE","{File KeyEscapeUtils.js at src/shared/utils/KeyEscapeUtils.js:1}","{File KeyEscapeUtils.js at src/renderers/shared/stack/reconciler/KeyEscapeUtils.js:1})"
"react","5c6a496d98b80d19d851c2ec3a56d760b7118a50","MOVE","{Function getIteratorFn at src/shared/utils/getIteratorFn.js:33}","{Function getIteratorFn at src/renderers/shared/fiber/ReactChildFiber.js:108})"
"react","5c6a496d98b80d19d851c2ec3a56d760b7118a50","INLINE","{Function getNextDebugID at src/shared/utils/getNextDebugID.js:17}","{Function instantiateReactComponent at src/renderers/shared/stack/reconciler/instantiateReactComponent.js:62})"
