repository,commit,type,before,after
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_crnn_layer(layer, network_state) at src/crnn_layer.h:12}","{Function backward_crnn_layer(layer, network) at src/crnn_layer.h:12})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_gru_layer(layer, network_state) at src/gru_layer.c:127}","{Function forward_gru_layer(layer, network) at src/gru_layer.c:127})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_convolutional_layer_gpu(convolutional_layer, network_state) at src/convolutional_layer.h:13}","{Function forward_convolutional_layer_gpu(convolutional_layer, network) at src/convolutional_layer.h:13})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_detection_layer_gpu(detection_layer, network_state) at src/detection_layer.c:281}","{Function backward_detection_layer_gpu(detection_layer, network) at src/detection_layer.c:270})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_region_layer(layer, network_state) at src/region_layer.h:9}","{Function backward_region_layer(layer, network) at src/region_layer.h:9})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_reorg_layer(layer, network_state) at src/reorg_layer.h:11}","{Function forward_reorg_layer(layer, network) at src/reorg_layer.h:11})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function get_region_boxes(layer, int, int, float, float, box, int, int, float) at src/region_layer.h:10}","{Function get_region_boxes(layer, int, int, float, float, box, int, int, float, int) at src/region_layer.h:10})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_rnn_layer_gpu(layer, network_state) at src/rnn_layer.h:17}","{Function forward_rnn_layer_gpu(layer, network) at src/rnn_layer.h:17})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_route_layer(route_layer, network_state) at src/route_layer.h:9}","{Function forward_route_layer(route_layer, network) at src/route_layer.h:9})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_gru_layer_gpu(layer, network_state) at src/gru_layer.c:227}","{Function forward_gru_layer_gpu(layer, network) at src/gru_layer.c:227})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_maxpool_layer(maxpool_layer, network_state) at src/maxpool_layer.c:116}","{Function backward_maxpool_layer(maxpool_layer, network) at src/maxpool_layer.c:116})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_shortcut_layer(layer, network_state) at src/shortcut_layer.c:46}","{Function backward_shortcut_layer(layer, network) at src/shortcut_layer.c:46})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_avgpool_layer_gpu(avgpool_layer, network_state) at src/avgpool_layer.h:18}","{Function forward_avgpool_layer_gpu(avgpool_layer, network) at src/avgpool_layer.h:18})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_crnn_layer_gpu(layer, network_state) at src/crnn_layer.c:205}","{Function forward_crnn_layer_gpu(layer, network) at src/crnn_layer.c:204})"
