repository,commit,type,before,after
"linux","06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","{Function perf_evsel__hists_browse(perf_evsel, int, char, bool, hist_browser_timer, float, perf_env) at tools/perf/ui/browsers/hists.c:2761}","{Function perf_evsel__hists_browse(perf_evsel, int, char, bool, hist_browser_timer, float, perf_env, bool) at tools/perf/ui/browsers/hists.c:2763})"
"linux","06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","{Function perf_evlist__tui_browse_hists(perf_evlist, char, hist_browser_timer, float, perf_env) at tools/perf/util/hist.h:436}","{Function perf_evlist__tui_browse_hists(perf_evlist, char, hist_browser_timer, float, perf_env, bool) at tools/perf/util/hist.h:437})"
"linux","06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","{Function __perf_evlist__tui_browse_hists(perf_evlist, int, char, hist_browser_timer, float, perf_env) at tools/perf/ui/browsers/hists.c:3281}","{Function __perf_evlist__tui_browse_hists(perf_evlist, int, char, hist_browser_timer, float, perf_env, bool) at tools/perf/ui/browsers/hists.c:3289})"
"linux","06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","{Function hist_browser__run(hist_browser, char) at tools/perf/ui/browsers/hists.c:611}","{Function hist_browser__run(hist_browser, char, bool) at tools/perf/ui/browsers/hists.c:611})"
"linux","06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","{Function perf_evlist__tui_browse_hists(perf_evlist, char, hist_browser_timer, float, perf_env) at tools/perf/ui/browsers/hists.c:3315}","{Function perf_evlist__tui_browse_hists(perf_evlist, char, hist_browser_timer, float, perf_env, bool) at tools/perf/ui/browsers/hists.c:3325})"
"linux","06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","{Function perf_evlist__tui_browse_hists(perf_evlist, char, hist_browser_timer, float, perf_env) at tools/perf/util/hist.h:430}","{Function perf_evlist__tui_browse_hists(perf_evlist, char, hist_browser_timer, float, perf_env, bool) at tools/perf/util/hist.h:430})"
"linux","06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","{Function perf_evsel_menu__run(perf_evsel_menu, int, char, hist_browser_timer) at tools/perf/ui/browsers/hists.c:3185}","{Function perf_evsel_menu__run(perf_evsel_menu, int, char, hist_browser_timer, bool) at tools/perf/ui/browsers/hists.c:3189})"
"linux","06cc1a470ab237b991901729b125404c164f3660","CHANGE_SIGNATURE","{Function hist_browser__run(hist_browser, char) at tools/perf/ui/browsers/hists.h:31}","{Function hist_browser__run(hist_browser, char, bool) at tools/perf/ui/browsers/hists.h:31})"
"git","c3fbf81a8534cf88ff948d12004eb94929ec1174","CHANGE_SIGNATURE","{Function strbuf_addftime(strbuf, char, tm) at strbuf.h:344}","{Function strbuf_addftime(strbuf, char, tm, int, char) at strbuf.h:348})"
"curl","b78944146a0670b74be00e189f468adfc5fca5b7","CHANGE_SIGNATURE","{Function curl_multi_wait(CURLM, curl_waitfd, unsigned int, int) at lib/multi.c:944}","{Function curl_multi_wait(CURLM, curl_waitfd, unsigned int, int, int) at lib/multi.c:944})"
"curl","b78944146a0670b74be00e189f468adfc5fca5b7","CHANGE_SIGNATURE","{Function curl_multi_wait(CURLM, curl_waitfd, unsigned int, int) at include/curl/multi.h:157}","{Function curl_multi_wait(CURLM, curl_waitfd, unsigned int, int, int) at include/curl/multi.h:157})"
"linux","9a5d2816b8560320ac625e8ae6cfc0d36ea0f52b","CHANGE_SIGNATURE","{Function dwc2_restore_device_registers(dwc2_hsotg) at drivers/usb/dwc2/gadget.c:4831}","{Function dwc2_restore_device_registers(dwc2_hsotg, int) at drivers/usb/dwc2/gadget.c:4834})"
"linux","9a5d2816b8560320ac625e8ae6cfc0d36ea0f52b","CHANGE_SIGNATURE","{Function dwc2_restore_device_registers(dwc2_hsotg) at drivers/usb/dwc2/core.h:1240}","{Function dwc2_restore_device_registers(dwc2_hsotg, int) at drivers/usb/dwc2/core.h:1240})"
