Repository,Commit,Type,Node Before,Node After
swoole-src,27958d8982464e3a9f112f532af4b405c34aaffc,RENAME_FUNCTION,"src/network/Server.c:swServer_call_hook_func(swServer, swServer_hook_type):30696-30997","src/network/Server.c:swServer_call_hook(swServer, swServer_hook_type, void):30843-31146"
darknet,8d9ed0a1d680c8d31e453e2e1cebfda66b357c11,CHANGE_SIGNATURE,"src/cost_layer.h:backward_cost_layer(cost_layer, network_state):331-391","src/cost_layer.h:backward_cost_layer(cost_layer, network):323-375"
tmux,c48d09ec8870ac218d6cc2bbec638d59839eda27,CHANGE_SIGNATURE,environ.c:environ_for_session(session):5209-5679,"environ.c:environ_for_session(session, int):5209-5714"
php-src,2e5ac355b9b578e5d1e460f2b2f4205f8a7c87b3,CHANGE_SIGNATURE,"ext/phar/phar_object.c:phar_postprocess_ru_web(char, int, char, int, char, int):10890-12059","ext/phar/phar_object.c:phar_postprocess_ru_web(char, size_t, char, size_t, char, size_t):10901-12077"
nuklear,bd30c124a655400f0f7da127be939919e8b46c58,CHANGE_SIGNATURE,"nuklear.h:nk_color_picker(nk_context, nk_color, nk_color_format):114394-114468","nuklear.h:nk_color_picker(nk_context, nk_colorf, nk_color_format):114395-114470"
toxcore,d83efd35dd342da7f5b0f4b6e11ffd943d7f3c63,CHANGE_SIGNATURE,"testing/irc_syncbot.c:callback_friend_message(Tox, int, uint8_t, uint16_t, void):1875-2356","testing/irc_syncbot.c:callback_friend_message(Tox, uint32_t, uint8_t, size_t, void):1875-2359"
darknet,fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a,MOVE_FUNCTION,"src/convolutional_layer.h:rescale_weights(convolutional_layer, float, float):2398-2462","include/darknet.h:rescale_weights(layer, float, float):11478-11528"
redis,60a4f12f8b998c44dfff0e88202b01598287390d,CHANGE_SIGNATURE,"src/networking.c:setProtocolError(char, client, int):1725-1781","src/networking.c:setProtocolError(char, client, null):1725-1782"
redis,09e3b3b97588e9847fc016dbad489bbe8b46aa39,CHANGE_SIGNATURE,"src/t_stream.c:streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamCG, streamConsumer):35030-36602","src/t_stream.c:streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamConsumer):35007-36562"
toxcore,d71136262227d68b649ce9fd8e020597c69cce07,CHANGE_SIGNATURE,"auto_tests/tox_test.c:print_message(Tox, uint32_t, uint8_t, size_t, void):722-1098","auto_tests/tox_test.c:print_message(Tox, uint32_t, TOX_MESSAGE_TYPE, uint8_t, size_t, void):722-1225"
toxcore,8286c2c22fc110dcc58c981eb39dd7bf46ae8aa9,RENAME_FUNCTION,toxcore/tox.c:tox_save_size(Tox):6223-6323,toxcore/tox.c:tox_get_savedata_size(Tox):6223-6331
linux,6e04b103568983bd699fac96b80a9b96ede68118,EXTRACT,"drivers/infiniband/hw/bnxt_re/qplib_rcfw.c:bnxt_qplib_enable_rcfw_channel(pci_dev, bnxt_qplib_rcfw, int, int, int, int):18429-21199","drivers/infiniband/hw/bnxt_re/qplib_rcfw.c:bnxt_qplib_rcfw_start_irq(bnxt_qplib_rcfw, int, bool):18662-19224"
darknet,8d9ed0a1d680c8d31e453e2e1cebfda66b357c11,CHANGE_SIGNATURE,"src/dropout_layer.c:forward_dropout_layer(dropout_layer, network_state):1040-1351","src/dropout_layer.c:forward_dropout_layer(dropout_layer, network):1040-1337"
vim,1dd45fb4f3371f0256653b2186c8b4b3d26b3f41,CHANGE_SIGNATURE,src/gui_w32.c:gui_mch_stop_blink(void):15295-15487,src/gui_w32.c:gui_mch_stop_blink(int):15295-15543
jq,6366cfd7a4275a25e128cc55f4c24a4079bc7005,RENAME_FUNCTION,libm.h:LIBM_DD(null):72-86,libm.h:LIBM_DD_NO(null):350-367
git,6862ebbfcbdd44b68dbdcfecd432432bdf22b2e5,CHANGE_SIGNATURE,"sha1_file.c:check_and_freshen_nonlocal(char, int):17518-17867","sha1_file.c:check_and_freshen_nonlocal(object_id, int):17525-17881"
darknet,d1965bdb969920c85f72785ec6e1f3d7bda957de,CHANGE_SIGNATURE,"src/yolo.c:demo_yolo(char, char, float, int):13065-13136","src/yolo.c:demo_yolo(char, char, float, int, char):13065-13152"
jq,0c93eb3379241dc4775718a9d39f54a6c4de20d6,MOVE_FILE,jv_utf8_tables.h:jv_utf8_tables.h:0-3367,src/jv_utf8_tables.h:jv_utf8_tables.h:0-3367
php-src,6c035f53f143c065aa3befbdbacd30ce691cff2a,EXTRACT,Zend/zend_ini.c:ZEND_INI_DISP(null):15548-16337,Zend/zend_ini.c:zend_ini_parse_bool(zend_string):14382-14699
darknet,fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a,MOVE_FUNCTION,"src/detection_layer.h:get_detection_boxes(layer, int, int, float, float, box, int):384-488","include/darknet.h:get_detection_boxes(layer, int, int, float, float, box, int):11813-11917"
jq,3a8c8f4747313d324f4309af66e2211319eccffd,EXTRACT,"src/compile.c:gen_foreach(block, block, block, block, block):21744-24143","src/compile.c:bind_alternation_matchers(block, block):21742-23778"
darknet,9b1774bd39d65614cdbd2d4e3815086298008911,MOVE_RENAME_FUNCTION,src/connected_layer.c:activation(double):71-122,src/activations.c:relu_activation(double):154-210
obs-studio,4a5ac397497b50e09d96ceaa78190886bb9897d1,CHANGE_SIGNATURE,"plugins/obs-outputs/flv-mux.c:flv_video(serializer, encoder_packet, bool):4811-5670","plugins/obs-outputs/flv-mux.c:flv_video(serializer, int32_t, encoder_packet, bool):4811-5703"
darknet,8d9ed0a1d680c8d31e453e2e1cebfda66b357c11,CHANGE_SIGNATURE,"src/maxpool_layer.c:forward_maxpool_layer(maxpool_layer, network_state):2331-3683","src/maxpool_layer.c:forward_maxpool_layer(maxpool_layer, network):2331-3673"
redis,49e098234abc2c5cc7042c931e3d611b0ae2055d,CHANGE_SIGNATURE,"src/module.c:free_privdata(void, null):137212-137235","src/module.c:free_privdata(RedisModuleCtx, void, null):137271-137310"
darknet,3fb3eec6502ff8e9b77ce6d43d835b41d0c3241f,CHANGE_SIGNATURE,"examples/attention.c:train_attention(char, char, char, char, char, int, int, int):65-3987","examples/attention.c:train_attention(char, char, char, int, int, int):1527-7459"
darknet,2313a8eb54d703323279c0fb9b2c9c52d26f0cf9,MOVE_FUNCTION,src/darknet.c:train_cifar10(char):19119-20005,src/old.c:train_cifar10(char):3284-4170
darknet,0d6bb5d44d8e815ebf6ccce1dae2f83178780e7b,CHANGE_SIGNATURE,"src/image.h:convolve(image, image, int, int, image):1124-1191","src/image.h:convolve(image, image, int, int, image, int):1448-1525"
darknet,2313a8eb54d703323279c0fb9b2c9c52d26f0cf9,MOVE_FUNCTION,"src/darknet.c:validate_captcha(char, char):9261-10551","src/captcha.c:validate_captcha(char, char):1420-2709"
netdata,4ac431fedbbdbf0ed05d20182a84aa58c33c63ca,CHANGE_SIGNATURE,"src/rrd2json.c:rrdset2anything_api_v1(RRDSET, BUFFER, BUFFER, uint32_t, null, null, null, int, uint32_t, time_t):57644-64016","src/rrd2json.c:rrdset2anything_api_v1(RRDSET, BUFFER, BUFFER, uint32_t, null, null, null, int, null, uint32_t, time_t):59307-65721"
