Commit URL,Rel. Type,Node before,Node After
https://github.com/webpack/webpack/commit/b50d4cf7c370dc0f9fa2c39ea0e73e28ca8918ac,MOVE,"node(""lib/WebpackOptionsValidationError.js"", ""getSchemaPartText"")","node(""lib/util/getSchemaPartText.js"", ""getSchemaPartText"")"
https://github.com/webpack/webpack/commit/8b3772d47fc94fe3c3175602bba5eef6605fad86,INTERNAL_MOVE,"node(""lib/EntryOptionPlugin.js"", ""itemToPlugin"")","node(""lib/EntryOptionPlugin.js"", ""itemToPlugin"")"
https://github.com/facebook/create-react-app/commit/fbdff9d722d6ce669a090138022c4d3536ae95bb,MOVE,"node(""packages/react-scripts/scripts/build.js"", ""getDifferenceLabel"")","node(""packages/react-dev-utils/FileSizeReporter.js"", ""getDifferenceLabel"")"
https://github.com/facebook/react/commit/8fbcd499bd07c8a8206f23fe0b2a1cbbc1ffaf0a,MOVE,"node(""src/renderers/shared/stack/reconciler/ReactUpdateQueue.js"", ""validateCallback"")","node(""src/renderers/shared/utils/validateCallback.js"", ""validateCallback"")"
https://github.com/d3/d3/commit/959da21882ad7ea5f35f851adb629ae7a29d5a38,INTERNAL_MOVE,"node(""d3.js"", ""start"")","node(""d3.js"", ""start"")"
https://github.com/facebook/react/commit/63aa7259b9f48886af545afcc06c29acf225b05f,MOVE,"node(""src/browser/ui/getReactRootElementInContainer.js"", ""getReactRootElementInContainer"")","node(""src/browser/ui/ReactMount.js"", ""getReactRootElementInContainer"")"
https://github.com/chartjs/Chart.js/commit/ec7b87d69c6168d25166784796f8026b2cb5715e,MOVE,"node(""src/charts/chart.bar.js"", ""calculateBarWidth"")","node(""src/scales/scale.category.js"", ""calculateBarWidth"")"
https://github.com/angular/angular.js/commit/560951e9881b5f772262804384b4da9f673b925e,INTERNAL_MOVE,"node(""src/ng/interpolate.js"", ""stringify"")","node(""src/ng/interpolate.js"", ""stringify"")"
https://github.com/angular/angular.js/commit/2636105c5e363f14cda890f19ac9c3bc57556dd2,MOVE,"node(""test/testabilityPatch.js"", ""toEqualError"")","node(""test/matchers.js"", ""toEqualError"")"
https://github.com/mrdoob/three.js/commit/ca803d97c0e4fab6eadd3f745f3068443e8ca1f4,MOVE,"node(""src/extras/core/NURBSCurve.js"", ""findSpan"")","node(""src/extras/core/NURBSUtils.js"", ""findSpan"")"
https://github.com/meteor/meteor/commit/643a9f12da263044829f90ea06cbb1d6c1afe91e,MOVE_RENAME,"node(""tools/cli/commands.js"", ""installDefaultNpmDeps"")","node(""tools/cli/default-npm-deps.js"", ""install"")"
https://github.com/mui-org/material-ui/commit/7796fb2677b547bec838eeaf4c219ffb00825c49,MOVE_RENAME,"node(""src/styles/theme-manager.js"", ""merge"")","node(""src/utils/extend.js"", ""extend"")"
https://github.com/webpack/webpack/commit/5da9d8c7ef29f954a37f58f5138f116579c6efe8,MOVE_RENAME,"node(""lib/Entrypoint.js"", ""getSize"")","node(""lib/SizeFormatHelpers.js"", ""getEntrypointSize"")"
https://github.com/webpack/webpack/commit/86c00207bdc9cb1ef60441d1ec836624a162c9ab,MOVE_RENAME,"node(""lib/ModuleParserHelpers.js"", ""addParsedVariable"")","node(""lib/ParserHelpers.js"", ""addParsedVariableToModule"")"
https://github.com/meteor/meteor/commit/b5286b941a77a1bdd57abb1ea01385eeaa62f7ea,MOVE_RENAME,"node(""packages/browser-policy/browser-policy.js"", ""disallowAllContent"")","node(""packages/browser-policy-content/browser-policy-content.js"", ""disallowAll"")"
https://github.com/meteor/meteor/commit/91a4a46ea1d687de1f929e3b9f0bae9c2db0c83d,INTERNAL_MOVE_RENAME,"node(""packages/liveui/liveui.js"", ""patch"")","node(""packages/liveui/liveui.js"", ""_patch"")"
https://github.com/angular/angular.js/commit/af0ad6561c0d75c4f155b07e9cfc36a983af55bd,MOVE_RENAME,"node(""src/JSON.js"", ""jsonReplacer"")","node(""src/Angular.js"", ""toJsonReplacer"")"
https://github.com/atom/atom/commit/dec52a7384d9f241cae0cd2d0a51f440bafa7677,EXTRACT,"node(""src/workspace.js"", ""toggle"")","node(""src/workspace.js"", ""hide"")"
https://github.com/facebook/react/commit/24a83a5eeb1ccf4da1bdd97166d6c7c94d821bd8,EXTRACT,"node(""src/renderers/shared/fiber/ReactFiberScheduler.js"", ""commitAllWork"")","node(""src/renderers/shared/fiber/ReactFiberScheduler.js"", ""commitAllHostEffects"")"
https://github.com/chartjs/Chart.js/commit/b64cab004669a010025e4641eb7f359c4035f6b9,EXTRACT,"node(""src/core/core.tooltip.js"", ""draw"")","node(""src/core/core.tooltip.js"", ""drawBackground"")"
https://github.com/facebook/react/commit/b4b21486aa043b3c6260665930e7e638c908a5ec,EXTRACT,"node(""src/renderers/shared/fiber/ReactFiberBeginWork.js"", ""beginWork"")","node(""src/renderers/shared/fiber/ReactFiberBeginWork.js"", ""updateHostRoot"")"
https://github.com/angular/angular.js/commit/c39936ee26f00d8256c79df07096f03196811df5,EXTRACT,"node(""src/ngRoute/route.js"", ""commitRoute"")","node(""src/ngRoute/route.js"", ""resolveLocalsFor"")"
https://github.com/angular/angular.js/commit/4adc9a9117e7f7501d94c22c8cbbfeb77ad5d596,EXTRACT,"node(""src/ngRoute/route.js"", ""commitRoute"")","node(""src/ngRoute/route.js"", ""getTemplateFor"")"
https://github.com/meteor/meteor/commit/adc5e40fb74ad2f1b4bea172a1214d46d2e6686c,EXTRACT,"node(""tools/files.js"", ""linkToMeteorScript"")","node(""tools/files.js"", ""_generateScriptLinkToMeteorScript"")"
https://github.com/d3/d3/commit/0a39765f3cbcb940e6fb354cec010a7ffeba9289,EXTRACT,"node(""d3.js"", ""d3_geo_circleClipPolygon"")","node(""d3.js"", ""d3_geo_circleLinkCircular"")"
https://github.com/d3/d3/commit/2eba0320407442e85be97b2cd84398fb6c626fe3,EXTRACT,"node(""d3.js"", ""ticks"")","node(""d3.js"", ""d3_scale_linearTicks"")"
https://github.com/angular/angular.js/commit/d9ca2459172a3ad62f0a19b8b1306d739c4b75b7,EXTRACT,"node(""src/auto/injector.js"", ""anonFn"")","node(""src/auto/injector.js"", ""extractArgs"")"
https://github.com/vuejs/vue/commit/ae07fedf8ab00a000db56a155f2e2fdaa6daeff2,INLINE,"node(""src/shared/util.js"", ""isFunction"")","node(""src/core/vdom/helpers/resolve-async-component.js"", ""resolveAsyncComponent"")"
