realm-java 6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb EXTRACT	{Method showStatus(Realm) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:112}	{Method showStatus(String) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:131})
rstudio cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe EXTRACT	{Method wrapMenuBar(ToolbarMenuBar) at src/gwt/src/org/rstudio/core/client/widget/ScrollableToolbarPopupMenu.java:64}	{Method setMaxHeight(int) at src/gwt/src/org/rstudio/core/client/widget/ScrollableToolbarPopupMenu.java:80})
intellij-community 7ed3f273ab0caf0337c22f0b721d51829bb0c877 EXTRACT	{Method getCourses() at python/educational/src/com/jetbrains/edu/stepic/EduStepicConnector.java:141}	{Method addCoursesFromStepic(List<CourseInfo>, int) at python/educational/src/com/jetbrains/edu/stepic/EduStepicConnector.java:159})
intellij-community 7a4dab88185553bd09e827839fdf52e870ef7088 INTERNAL_MOVE	{Method run() at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:61}	{Method run() at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:65})
intellij-community 7a4dab88185553bd09e827839fdf52e870ef7088 EXTRACT	{Method testImagesInsideJavadocJar() at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:56}	{Method getDocumentationText(String) at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:134})
intellij-community 7a4dab88185553bd09e827839fdf52e870ef7088 EXTRACT	{Method getJarFile(String) at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:112}	{Method getDataFile(String) at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:121})
intellij-community 7655200f58293e5a30bf8b3cbb29ebadae374564 CHANGE_SIGNATURE	{Method runToCursor(Document, int, boolean) at java/debugger/impl/src/com/intellij/debugger/impl/DebuggerSession.java:298}	{Method runToCursor(XSourcePosition, boolean) at java/debugger/impl/src/com/intellij/debugger/impl/DebuggerSession.java:299})
intellij-community 7655200f58293e5a30bf8b3cbb29ebadae374564 CHANGE_SIGNATURE	{Method createRunToCursorCommand(SuspendContextImpl, Document, int, boolean) at java/debugger/impl/src/com/intellij/debugger/engine/DebugProcessImpl.java:2038}	{Method createRunToCursorCommand(SuspendContextImpl, XSourcePosition, boolean) at java/debugger/impl/src/com/intellij/debugger/engine/DebugProcessImpl.java:2038})
intellij-community 7655200f58293e5a30bf8b3cbb29ebadae374564 CHANGE_SIGNATURE	{Method RunToCursorCommand(SuspendContextImpl, Document, int, boolean) at java/debugger/impl/src/com/intellij/debugger/engine/DebugProcessImpl.java:1572}	{Method RunToCursorCommand(SuspendContextImpl, XSourcePosition, boolean) at java/debugger/impl/src/com/intellij/debugger/engine/DebugProcessImpl.java:1572})
intellij-community 7655200f58293e5a30bf8b3cbb29ebadae374564 EXTRACT	{Method getLine() at java/debugger/impl/src/com/intellij/debugger/engine/RemappedSourcePosition.java:46}	{Method checkRemap() at java/debugger/impl/src/com/intellij/debugger/engine/RemappedSourcePosition.java:53})
intellij-community 7655200f58293e5a30bf8b3cbb29ebadae374564 CHANGE_SIGNATURE	{Method create(Project, Document, int, boolean) at java/debugger/impl/src/com/intellij/debugger/ui/breakpoints/RunToCursorBreakpoint.java:119}	{Method create(Project, XSourcePosition, boolean) at java/debugger/impl/src/com/intellij/debugger/ui/breakpoints/RunToCursorBreakpoint.java:145})
intellij-community 7655200f58293e5a30bf8b3cbb29ebadae374564 EXTRACT	{Method getOffset() at java/debugger/impl/src/com/intellij/debugger/engine/RemappedSourcePosition.java:57}	{Method checkRemap() at java/debugger/impl/src/com/intellij/debugger/engine/RemappedSourcePosition.java:53})
intellij-community 7655200f58293e5a30bf8b3cbb29ebadae374564 CHANGE_SIGNATURE	{Method addRunToCursorBreakpoint(Document, int, boolean) at java/debugger/impl/src/com/intellij/debugger/ui/breakpoints/BreakpointManager.java:188}	{Method addRunToCursorBreakpoint(XSourcePosition, boolean) at java/debugger/impl/src/com/intellij/debugger/ui/breakpoints/BreakpointManager.java:189})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class CustomMeasuresWs at server/sonar-server/src/main/java/org/sonar/server/custommeasure/ws/CustomMeasuresWs.java:25}	{Class CustomMeasuresWs at server/sonar-server/src/main/java/org/sonar/server/measure/custom/ws/CustomMeasuresWs.java:25})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class CustomMeasureDaoTest at server/sonar-server/src/test/java/org/sonar/server/custommeasure/persistence/CustomMeasureDaoTest.java:40}	{Class CustomMeasureDaoTest at server/sonar-server/src/test/java/org/sonar/server/measure/custom/persistence/CustomMeasureDaoTest.java:40})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class CustomMeasuresWsModule at server/sonar-server/src/main/java/org/sonar/server/custommeasure/ws/CustomMeasuresWsModule.java:25}	{Class CustomMeasuresWsModule at server/sonar-server/src/main/java/org/sonar/server/measure/custom/ws/CustomMeasuresWsModule.java:25})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class DeleteActionTest at server/sonar-server/src/test/java/org/sonar/server/custommeasure/ws/DeleteActionTest.java:48}	{Class DeleteActionTest at server/sonar-server/src/test/java/org/sonar/server/measure/custom/ws/DeleteActionTest.java:48})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class CustomMeasureDao at server/sonar-server/src/main/java/org/sonar/server/custommeasure/persistence/CustomMeasureDao.java:35}	{Class CustomMeasureDao at server/sonar-server/src/main/java/org/sonar/server/measure/custom/persistence/CustomMeasureDao.java:35})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class CustomMeasuresWsModuleTest at server/sonar-server/src/test/java/org/sonar/server/custommeasure/ws/CustomMeasuresWsModuleTest.java:28}	{Class CustomMeasuresWsModuleTest at server/sonar-server/src/test/java/org/sonar/server/measure/custom/ws/CustomMeasuresWsModuleTest.java:28})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Interface CustomMeasuresWsAction at server/sonar-server/src/main/java/org/sonar/server/custommeasure/ws/CustomMeasuresWsAction.java:25}	{Interface CustomMeasuresWsAction at server/sonar-server/src/main/java/org/sonar/server/measure/custom/ws/CustomMeasuresWsAction.java:25})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class CustomMeasuresWsTest at server/sonar-server/src/test/java/org/sonar/server/custommeasure/ws/CustomMeasuresWsTest.java:33}	{Class CustomMeasuresWsTest at server/sonar-server/src/test/java/org/sonar/server/measure/custom/ws/CustomMeasuresWsTest.java:33})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class DeleteAction at server/sonar-server/src/main/java/org/sonar/server/custommeasure/ws/DeleteAction.java:35}	{Class DeleteAction at server/sonar-server/src/main/java/org/sonar/server/measure/custom/ws/DeleteAction.java:35})
sonarqube 4a2247c24efee48de53ca07302b6810ab7205621 MOVE	{Class CustomMeasureTesting at server/sonar-server/src/test/java/org/sonar/server/custommeasure/persistence/CustomMeasureTesting.java:28}	{Class CustomMeasureTesting at server/sonar-server/src/test/java/org/sonar/server/measure/custom/persistence/CustomMeasureTesting.java:28})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationDispatcherMetadata at sonar-core/src/main/java/org/sonar/core/notification/NotificationDispatcherMetadata.java:35}	{Class NotificationDispatcherMetadata at server/sonar-server/src/main/java/org/sonar/server/notification/NotificationDispatcherMetadata.java:35})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class DefaultNotificationManagerTest at sonar-core/src/test/java/org/sonar/core/notification/DefaultNotificationManagerTest.java:52}	{Class DefaultNotificationManagerTest at server/sonar-server/src/test/java/org/sonar/server/notification/DefaultNotificationManagerTest.java:52})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationDispatcherMetadataTest at sonar-core/src/test/java/org/sonar/core/notification/NotificationDispatcherMetadataTest.java:27}	{Class NotificationDispatcherMetadataTest at server/sonar-server/src/test/java/org/sonar/server/notification/NotificationDispatcherMetadataTest.java:27})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class AlertsEmailTemplate at server/sonar-server/src/main/java/org/sonar/server/notifications/email/AlertsEmailTemplate.java:34}	{Class AlertsEmailTemplate at server/sonar-server/src/main/java/org/sonar/server/notification/email/AlertsEmailTemplate.java:34})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationChannelTest at sonar-core/src/test/java/org/sonar/core/notification/NotificationChannelTest.java:29}	{Class NotificationChannelTest at server/sonar-server/src/test/java/org/sonar/server/notification/NotificationChannelTest.java:29})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Interface NotificationManager at sonar-core/src/main/java/org/sonar/core/notification/NotificationManager.java:44}	{Interface NotificationManager at server/sonar-server/src/main/java/org/sonar/server/notification/NotificationManager.java:37})
