"Commit","RefactoringType","Before","After","BeforeLOC","AfterLOC"
"dede2886a8499f984c90b6d38ae00ca04638e5d6"
"eae2a1bd5f5dc96596b9d6c57fa1b43869864835"
"3f42ca14011e972ee439a27d47415bc7574f2317"
"91e221b04712ec8dc563328ed3ec648df8f0933b"
"91368adbb556286942d996c60ab6cc39306415b7","CHANGE_SIGNATURE","{function_declaration CheckDataConsistency(ctx context.Context, identity string, lastSyncedResourceVersion string, listFn ListFunc[T], listOptions metav1.ListOptions, retrieveItemsFn RetrieveItemsFunc[U]) at staging/src/k8s.io/client-go/util/consistencydetector/data_consistency_detector.go:67}","{function_declaration CheckDataConsistency(ctx context.Context, identity string, lastSyncedResourceVersion string, listFn ListFunc[T], listItemTransformFunc TransformFunc, listOptions metav1.ListOptions, retrieveItemsFn RetrieveItemsFunc[U]) at staging/src/k8s.io/client-go/util/consistencydetector/data_consistency_detector.go:69}","41","50"
"91368adbb556286942d996c60ab6cc39306415b7","CHANGE_SIGNATURE","{function_declaration checkWatchListDataConsistencyIfRequested(ctx context.Context, identity string, lastSyncedResourceVersion string, listFn consistencydetector.ListFunc[T], retrieveItemsFn consistencydetector.RetrieveItemsFunc[U]) at staging/src/k8s.io/client-go/tools/cache/reflector_data_consistency_detector.go:36}","{function_declaration checkWatchListDataConsistencyIfRequested(ctx context.Context, identity string, lastSyncedResourceVersion string, listFn consistencydetector.ListFunc[T], listItemTransformFunc func(interface{}) (interface{}, error), retrieveItemsFn consistencydetector.RetrieveItemsFunc[U]) at staging/src/k8s.io/client-go/tools/cache/reflector_data_consistency_detector.go:36}","8","8"
"76da8d6de027a4bf62601d45b8d72f8fa627ab5c","EXTRACT","{function_declaration newInformer(clientState Store, options InformerOptions) at staging/src/k8s.io/client-go/tools/cache/controller.go:706}","{function_declaration newQueueFIFO(clientState Store, transform TransformFunc) at staging/src/k8s.io/client-go/tools/cache/controller.go:733}","39","15"
"88c20d46a4e5ca8db7519c81856a358c919ae262","RENAME","{method_declaration List() at staging/src/k8s.io/client-go/tools/cache/delta_fifo_test.go:31}","{method_declaration list() at staging/src/k8s.io/client-go/tools/cache/delta_fifo_test.go:31}","5","5"
"88c20d46a4e5ca8db7519c81856a358c919ae262","RENAME","{method_declaration Get(obj interface{}) at staging/src/k8s.io/client-go/tools/cache/delta_fifo_test.go:63}","{method_declaration get(obj interface{}) at staging/src/k8s.io/client-go/tools/cache/delta_fifo_test.go:63}","7","7"
"c6fa10dbb7ca36bd0103ca6cbff0adaaf5606e62"
"03066850f638894321de2dd05fb78029bb0c0a11"
