"a5a0840f486216734a55e273ef4b5f1c286db222"
"a54618b4988e3d60858c71f40719aad029b2078a"
"d37030b9e192078e72ea09d4b4eaa22374bcf2b8"
"f62380cc7bcac3b4c2df11293b9a802e3c6e4033"
"93b72fa0803ce6e0c6e89591d1d9dc23b3c3842f"
"3ac7f839007cc1c2c16d3e38de3f2df725bc6465"
"deca37da4a1d937921965abcd85735765bf7a42b"
"347040c5a4205de323d60d87f18276bf0e88ce63"
"89993364581afab99b13736d35fa3bc5e644c061"
"a8b8468af06b4af522296bbad4c268425f39dac6"
"b648e226cd97992f7cbf87a29fcd31921d64d16f"
"fb8bbe838d3a4a3657dd90928f4320d092c25db3"
"dff08583406dd7b3f47a229f8e8f6414f61e0960"
"40544e096f9ec1b5e73df7f826557dae5e5c4663"
"23354b01558f4ac2c22579901a6480a628c52c12"
"39d29c8f7e77e17b68fbe9f2d199174f97c65c97","RENAME","{Class ConcurrencyThrottleCache at spring-context/src/main/java/org/springframework/resilience/annotation/ConcurrencyLimitBeanPostProcessor.java:144}","{Class ConcurrencyThrottleHolder at spring-context/src/main/java/org/springframework/resilience/annotation/ConcurrencyLimitBeanPostProcessor.java:144}","-141","-141"
"4593f877ddfbc68ae0eeef6e83395a0af32e2811","EXTRACT_MOVE","{Method asSingleValueMap() at spring-web/src/main/java/org/springframework/http/HttpHeaders.java:1861}","{Method asSingleValueMap() at spring-websocket/src/main/java/org/springframework/web/socket/WebSocketHttpHeaders.java:241}","-1858","-238"
"a3e8a173a83e2d45a2e450e20b867401cc061482"
"5c5367a1bee739b998b7112003cfd5076a889f7f"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldCreateWithInitialCapacityAndConcurrentLevel() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:79}","{Method createWithInitialCapacityAndConcurrentLevel() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:79}","-76","-76"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldRemoveKeyAndValueWithExistingNull() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:278}","{Method removeKeyAndValueWithExistingNull() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:278}","-275","-275"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldSupportIsEmpty() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:329}","{Method isEmpty() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:369}","-326","-366"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldReplaceValue() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:306}","{Method replaceValue() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:306}","-303","-303"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldRemoveWhenKeyIsNotInMap() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:369}","{Method removeWhenKeyIsNotInMap() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:409}","-366","-406"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldGetSize() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:320}","{Method size() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:360}","-317","-357"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldPutAndGet() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:118}","{Method putAndGet() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:118}","-115","-115"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldReplaceOldValueWithNewValue() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:288}","{Method replaceOldValueWithNewValue() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:288}","-285","-285"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldApplySupplementalHash() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:164}","{Method applySupplementalHash() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:164}","-161","-161"
"12dd75815867def5c6d29be656ae67a0bf493235","RENAME","{Method shouldReplaceOldNullValueWithNewValue() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:297}","{Method replaceOldNullValueWithNewValue() at spring-core/src/test/java/org/springframework/util/ConcurrentReferenceHashMapTests.java:297}","-294","-294"
